,Well,Drug,Concentration,Exp
98,E03_DGE1,hg-9-91-01,0.3,DGE1
99,E04_DGE1,(+)-jq1,0.3,DGE1
100,E05_DGE1,plx-4720,0.3,DGE1
101,E06_DGE1,zm-447439,0.3,DGE1
102,E07_DGE1,bx-912,10.0,DGE1
103,E08_DGE1,bortezomib,1.0,DGE1
104,E09_DGE1,brivanib,1.0,DGE1
105,E10_DGE1,fedratinib,1.0,DGE1
106,E11_DGE1,gsk1070916,10.0,DGE1
107,E12_DGE1,hg-9-91-01,1.0,DGE1
108,E13_DGE1,LPS,,DGE1
109,E14_DGE1,a443654,0.3,DGE1
110,E15_DGE1,tofacitinib,1.0,DGE1
111,E16_DGE1,r 59-022,1.0,DGE1
112,E17_DGE1,rotenone,10.0,DGE1
113,E18_DGE1,entinostat,1.0,DGE1
114,E19_DGE1,ruxolitinib,10.0,DGE1
115,E20_DGE1,r 59-022,3.0,DGE1
116,E21_DGE1,sb202190,1.0,DGE1
117,E22_DGE1,fccp,10.0,DGE1
118,E23_DGE1,sb202190,10.0,DGE1
119,E24_DGE1,a443654,10.0,DGE1
120,F01_DGE1,ruxolitinib,3.0,DGE1
121,F02_DGE1,zm-447439,10.0,DGE1
122,F03_DGE1,pha-665752,0.3,DGE1
123,F04_DGE1,gsk1059615,1.0,DGE1
124,F05_DGE1,cabozantinib,0.3,DGE1
125,F06_DGE1,kw2449,3.0,DGE1
126,F07_DGE1,hg-9-91-01,1.0,DGE1
127,F08_DGE1,(+)-jq1,3.0,DGE1
128,F09_DGE1,zm-447439,1.0,DGE1
129,F10_DGE1,ldn-193189,1.0,DGE1
130,F11_DGE1,Drug_control,,DGE1
131,F12_DGE1,r 59949,0.3,DGE1
132,F13_DGE1,r 59949,0.3,DGE1
133,F14_DGE1,rotenone,1.0,DGE1
134,F15_DGE1,hg-9-91-01,0.3,DGE1
135,F16_DGE1,alisertib,10.0,DGE1
136,F17_DGE1,(+)-jq1,1.0,DGE1
137,F18_DGE1,gsk1070916,1.0,DGE1
138,F19_DGE1,r 59-022,3.0,DGE1
139,F20_DGE1,fccp,10.0,DGE1
140,F21_DGE1,r 59-022,0.3,DGE1
141,F22_DGE1,hg-9-91-01,1.0,DGE1
142,F23_DGE1,pf04217903,0.3,DGE1
143,F24_DGE1,MG-132,1.0,DGE1
144,G01_DGE1,sb202190,1.0,DGE1
145,G02_DGE1,bx-912,10.0,DGE1
146,G03_DGE1,r 59949,3.0,DGE1
147,G04_DGE1,gsk1070916,10.0,DGE1
148,G05_DGE1,entinostat,1.0,DGE1
149,G06_DGE1,r 59-022,10.0,DGE1
150,G07_DGE1,sb202190,0.3,DGE1
151,G08_DGE1,bortezomib,3.0,DGE1
152,G09_DGE1,sb202190,3.0,DGE1
153,G10_DGE1,hg-9-91-01,10.0,DGE1
154,G11_DGE1,metformin,1.0,DGE1
155,G12_DGE1,entinostat,10.0,DGE1
156,G13_DGE1,fedratinib,3.0,DGE1
157,G14_DGE1,cabozantinib,10.0,DGE1
158,G15_DGE1,Lipo control,,DGE1
159,G16_DGE1,a443654,10.0,DGE1
160,G17_DGE1,gsk1059615,0.3,DGE1
161,G18_DGE1,tofacitinib,10.0,DGE1
162,G19_DGE1,bortezomib,10.0,DGE1
163,G20_DGE1,tofacitinib,3.0,DGE1
164,G21_DGE1,pf04217903,10.0,DGE1
165,G22_DGE1,pha-665752,3.0,DGE1
166,G23_DGE1,pazopanib,10.0,DGE1
167,G24_DGE1,Drug_control,,DGE1
168,H01_DGE1,sb202190,1.0,DGE1
169,H02_DGE1,nvp-tae684,1.0,DGE1
170,H03_DGE1,fedratinib,10.0,DGE1
171,H04_DGE1,alisertib,3.0,DGE1
172,H05_DGE1,a443654,3.0,DGE1
173,H06_DGE1,metformin,3.0,DGE1
174,H07_DGE1,pha-665752,3.0,DGE1
175,H08_DGE1,brivanib,0.3,DGE1
176,H09_DGE1,Drug_control,,DGE1
177,H10_DGE1,pf04217903,1.0,DGE1
178,H11_DGE1,zm-447439,1.0,DGE1
179,H12_DGE1,ruxolitinib,3.0,DGE1
180,H13_DGE1,ruxolitinib,1.0,DGE1
181,H14_DGE1,bortezomib,3.0,DGE1
182,H15_DGE1,metformin,10.0,DGE1
183,H16_DGE1,r 59949,10.0,DGE1
184,H17_DGE1,entinostat,0.3,DGE1
185,H18_DGE1,bortezomib,0.3,DGE1
186,H19_DGE1,gsk1059615,10.0,DGE1
187,H20_DGE1,ldn-193189,1.0,DGE1
188,H21_DGE1,cabozantinib,10.0,DGE1
189,H22_DGE1,fedratinib,3.0,DGE1
190,H23_DGE1,entinostat,0.3,DGE1
191,H24_DGE1,a443654,1.0,DGE1
192,I01_DGE1,cabozantinib,10.0,DGE1
193,I02_DGE1,kw2449,1.0,DGE1
194,I03_DGE1,brivanib,0.3,DGE1
195,I04_DGE1,nvp-tae684,3.0,DGE1
196,I05_DGE1,gsk1070916,3.0,DGE1
197,I06_DGE1,brivanib,0.3,DGE1
198,I07_DGE1,torin1,0.3,DGE1
199,I08_DGE1,pha-665752,0.3,DGE1
200,I09_DGE1,barasertib,0.3,DGE1
201,I10_DGE1,sb202190,3.0,DGE1
202,I11_DGE1,kw2449,1.0,DGE1
203,I12_DGE1,fccp,1.0,DGE1
204,I13_DGE1,ldn-193189,3.0,DGE1
205,I14_DGE1,ldn-193189,3.0,DGE1
206,I15_DGE1,(+)-jq1,10.0,DGE1
207,I16_DGE1,nvp-tae684,10.0,DGE1
208,I17_DGE1,entinostat,3.0,DGE1
209,I18_DGE1,nvp-tae684,10.0,DGE1
210,I19_DGE1,a443654,3.0,DGE1
211,I20_DGE1,cabozantinib,1.0,DGE1
212,I21_DGE1,bortezomib,10.0,DGE1
213,I22_DGE1,ldn-193189,0.3,DGE1
214,I23_DGE1,fedratinib,10.0,DGE1
215,I24_DGE1,pazopanib,0.3,DGE1
216,J01_DGE1,pha-665752,1.0,DGE1
217,J02_DGE1,plx-4720,1.0,DGE1
218,J03_DGE1,dsRNA +lipo,,DGE1
219,J04_DGE1,hg-9-91-01,3.0,DGE1
220,J05_DGE1,fedratinib,0.3,DGE1
221,J06_DGE1,kw2449,1.0,DGE1
222,J07_DGE1,sb202190,0.3,DGE1
223,J08_DGE1,zm-447439,0.3,DGE1
224,J09_DGE1,Chitosan,1.0,DGE1
225,J10_DGE1,gsk1059615,10.0,DGE1
226,J11_DGE1,Chitosan,1.0,DGE1
227,J12_DGE1,(+)-jq1,3.0,DGE1
228,J13_DGE1,pf04217903,3.0,DGE1
229,J14_DGE1,pha-665752,10.0,DGE1
230,J15_DGE1,pha-665752,10.0,DGE1
231,J16_DGE1,kw2449,10.0,DGE1
232,J17_DGE1,pazopanib,10.0,DGE1
233,J18_DGE1,fedratinib,10.0,DGE1
234,J19_DGE1,zm-447439,10.0,DGE1
235,J20_DGE1,pazopanib,1.0,DGE1
236,J21_DGE1,fccp,10.0,DGE1
237,J22_DGE1,torin1,1.0,DGE1
238,J23_DGE1,hg-9-91-01,10.0,DGE1
239,J24_DGE1,alisertib,10.0,DGE1
240,K01_DGE1,cabozantinib,0.3,DGE1
241,K02_DGE1,gsk1059615,3.0,DGE1
242,K03_DGE1,metformin,0.3,DGE1
243,K04_DGE1,zm-447439,0.3,DGE1
244,K05_DGE1,plx-4720,3.0,DGE1
245,K06_DGE1,ldn-193189,10.0,DGE1
246,K07_DGE1,bx-912,1.0,DGE1
247,K08_DGE1,torin1,1.0,DGE1
248,K09_DGE1,gsk1070916,1.0,DGE1
249,K10_DGE1,zm-447439,3.0,DGE1
250,K11_DGE1,bx-912,3.0,DGE1
251,K12_DGE1,Drug_control,,DGE1
252,K13_DGE1,bortezomib,0.3,DGE1
253,K14_DGE1,Drug_control,,DGE1
254,K15_DGE1,nvp-tae684,1.0,DGE1
255,K16_DGE1,metformin,0.3,DGE1
256,K17_DGE1,alisertib,10.0,DGE1
257,K18_DGE1,Drug_control,,DGE1
258,K19_DGE1,tofacitinib,1.0,DGE1
259,K20_DGE1,naked dsRNA,,DGE1
260,K21_DGE1,r 59949,3.0,DGE1
261,K22_DGE1,a443654,3.0,DGE1
262,K23_DGE1,tofacitinib,3.0,DGE1
263,K24_DGE1,ldn-193189,0.3,DGE1
264,L01_DGE1,(+)-jq1,10.0,DGE1
265,L02_DGE1,zm-447439,1.0,DGE1
266,L03_DGE1,alisertib,1.0,DGE1
267,L04_DGE1,ldn-193189,0.3,DGE1
268,L05_DGE1,Chitosan,10.0,DGE1
269,L06_DGE1,tofacitinib,0.3,DGE1
270,L07_DGE1,bx-912,3.0,DGE1
271,L08_DGE1,torin1,10.0,DGE1
272,L10_DGE1,gsk1059615,3.0,DGE1
273,L11_DGE1,r 59-022,1.0,DGE1
274,L12_DGE1,gsk1059615,1.0,DGE1
275,L13_DGE1,Drug_control,,DGE1
276,L14_DGE1,pazopanib,0.3,DGE1
277,L15_DGE1,barasertib,0.3,DGE1
278,L16_DGE1,gsk1070916,0.3,DGE1
279,L17_DGE1,brivanib,3.0,DGE1
280,L18_DGE1,pazopanib,10.0,DGE1
281,L19_DGE1,plx-4720,10.0,DGE1
282,L20_DGE1,cabozantinib,0.3,DGE1
283,L21_DGE1,ruxolitinib,1.0,DGE1
284,L22_DGE1,pf04217903,0.3,DGE1
285,L23_DGE1,a443654,0.3,DGE1
286,L24_DGE1,nvp-tae684,1.0,DGE1
287,M01_DGE1,gsk1070916,0.3,DGE1
288,M02_DGE1,r 59-022,10.0,DGE1
289,M03_DGE1,barasertib,0.3,DGE1
290,M04_DGE1,bortezomib,1.0,DGE1
291,M05_DGE1,metformin,1.0,DGE1
292,M06_DGE1,nvp-tae684,0.3,DGE1
293,M07_DGE1,kw2449,10.0,DGE1
294,M08_DGE1,alisertib,0.3,DGE1
295,M09_DGE1,tofacitinib,0.3,DGE1
296,M10_DGE1,pazopanib,3.0,DGE1
297,M11_DGE1,ruxolitinib,10.0,DGE1
298,M12_DGE1,r 59949,3.0,DGE1
299,M13_DGE1,gsk1070916,0.3,DGE1
300,M14_DGE1,hg-9-91-01,3.0,DGE1
301,M15_DGE1,kw2449,3.0,DGE1
302,M16_DGE1,zm-447439,3.0,DGE1
303,M17_DGE1,plx-4720,1.0,DGE1
304,M18_DGE1,pf04217903,3.0,DGE1
305,M19_DGE1,sb202190,10.0,DGE1
306,M20_DGE1,MG-132,10.0,DGE1
307,M21_DGE1,kw2449,0.3,DGE1
308,M22_DGE1,nvp-tae684,3.0,DGE1
309,M23_DGE1,metformin,10.0,DGE1
310,M24_DGE1,ruxolitinib,10.0,DGE1
311,N01_DGE1,Chitosan,10.0,DGE1
312,N02_DGE1,(+)-jq1,3.0,DGE1
313,N03_DGE1,MG-132,1.0,DGE1
314,N04_DGE1,pazopanib,3.0,DGE1
315,N05_DGE1,plx-4720,1.0,DGE1
316,N06_DGE1,nvp-tae684,10.0,DGE1
317,N07_DGE1,torin1,0.3,DGE1
318,N08_DGE1,bortezomib,0.3,DGE1
319,N09_DGE1,barasertib,1.0,DGE1
320,N10_DGE1,pazopanib,1.0,DGE1
321,N11_DGE1,alisertib,0.3,DGE1
322,N12_DGE1,alisertib,3.0,DGE1
323,N13_DGE1,pf04217903,1.0,DGE1
324,N14_DGE1,pf04217903,0.3,DGE1
325,N15_DGE1,nvp-tae684,3.0,DGE1
326,N16_DGE1,r 59-022,3.0,DGE1
327,N17_DGE1,Drug_control,,DGE1
328,N18_DGE1,Drug_control,,DGE1
329,N19_DGE1,gsk1059615,0.3,DGE1
330,N20_DGE1,r 59-022,0.3,DGE1
331,N21_DGE1,barasertib,1.0,DGE1
332,N22_DGE1,torin1,10.0,DGE1
333,N23_DGE1,rotenone,1.0,DGE1
334,N24_DGE1,torin1,3.0,DGE1
335,O01_DGE1,torin1,3.0,DGE1
336,O02_DGE1,ldn-193189,3.0,DGE1
337,O03_DGE1,barasertib,1.0,DGE1
338,O04_DGE1,ruxolitinib,10.0,DGE1
339,O05_DGE1,fedratinib,1.0,DGE1
340,O06_DGE1,Drug_control,,DGE1
341,O07_DGE1,pha-665752,1.0,DGE1
342,O08_DGE1,bx-912,0.3,DGE1
343,O09_DGE1,Drug_control,,DGE1
344,O10_DGE1,fedratinib,3.0,DGE1
345,O11_DGE1,kw2449,0.3,DGE1
346,O12_DGE1,alisertib,1.0,DGE1
347,O13_DGE1,gsk1070916,1.0,DGE1
348,O15_DGE1,plx-4720,0.3,DGE1
349,O16_DGE1,naked dsRNA,,DGE1
350,O17_DGE1,bx-912,10.0,DGE1
351,O18_DGE1,pazopanib,0.3,DGE1
352,O19_DGE1,gsk1070916,3.0,DGE1
353,O20_DGE1,fedratinib,0.3,DGE1
354,O21_DGE1,Chitosan,10.0,DGE1
355,O22_DGE1,metformin,3.0,DGE1
356,O23_DGE1,pf04217903,3.0,DGE1
357,O24_DGE1,zm-447439,3.0,DGE1
358,P01_DGE1,rotenone,10.0,DGE1
359,P02_DGE1,brivanib,1.0,DGE1
360,P03_DGE1,alisertib,3.0,DGE1
361,P04_DGE1,entinostat,0.3,DGE1
362,P05_DGE1,entinostat,3.0,DGE1
363,P06_DGE1,entinostat,1.0,DGE1
364,P07_DGE1,ldn-193189,10.0,DGE1
365,P08_DGE1,cabozantinib,1.0,DGE1
366,P09_DGE1,bortezomib,3.0,DGE1
367,P10_DGE1,r 59-022,10.0,DGE1
368,P12_DGE1,bx-912,1.0,DGE1
369,P13_DGE1,torin1,10.0,DGE1
370,P14_DGE1,entinostat,10.0,DGE1
371,P15_DGE1,plx-4720,3.0,DGE1
372,P16_DGE1,entinostat,3.0,DGE1
373,P17_DGE1,plx-4720,3.0,DGE1
374,P18_DGE1,gsk1070916,10.0,DGE1
375,P19_DGE1,brivanib,10.0,DGE1
376,P20_DGE1,Lipo control,,DGE1
377,P21_DGE1,hg-9-91-01,0.3,DGE1
378,P22_DGE1,entinostat,10.0,DGE1
379,P23_DGE1,bx-912,0.3,DGE1
380,P24_DGE1,a443654,1.0,DGE1
381,A01_DGE2,canertinib,1.0,DGE2
382,A02_DGE2,IKK16,10.0,DGE2
383,A03_DGE2,VX-702,10.0,DGE2
384,A04_DGE2,Nintedanib,1.0,DGE2
385,A05_DGE2,Vorinostat,1.0,DGE2
386,A06_DGE2,Ponatinib,10.0,DGE2
387,A07_DGE2,Ponatinib,1.0,DGE2
388,A08_DGE2,Tofacitinib (dsRNAmi),10.0,DGE2
389,A09_DGE2,Dovitinib,10.0,DGE2
390,A10_DGE2,Torin2,1.0,DGE2
391,A11_DGE2,Baricitinib (dsRNAmi),10.0,DGE2
392,A12_DGE2,Dasatinib,1.0,DGE2
393,A13_DGE2,XMD16-144,10.0,DGE2
394,A14_DGE2,AZD-1480,10.0,DGE2
395,A15_DGE2,Imatinib,10.0,DGE2
396,A16_DGE2,Gefitinib,10.0,DGE2
397,A17_DGE2,Imatinib,10.0,DGE2
398,A18_DGE2,Afatinib,10.0,DGE2
399,A19_DGE2,pf-06463922,1.0,DGE2
400,A20_DGE2,Staurosporine aglycone,1.0,DGE2
401,A21_DGE2,Palbociclib,10.0,DGE2
402,A22_DGE2,Baricitinib,10.0,DGE2
403,A23_DGE2,VX-702,1.0,DGE2
404,A24_DGE2,Erlotinib,1.0,DGE2
405,B01_DGE2,JWE-035,1.0,DGE2
406,B02_DGE2,Crizotinib,1.0,DGE2
407,B03_DGE2,AZD1480 (Lipo),10.0,DGE2
408,B04_DGE2,Axitinib,10.0,DGE2
409,B05_DGE2,canertinib,1.0,DGE2
410,B06_DGE2,Pelitinib,10.0,DGE2
411,B07_DGE2,DMSO,,DGE2
412,B08_DGE2,Baricitinib,1.0,DGE2
413,B09_DGE2,Pelitinib,1.0,DGE2
414,B10_DGE2,Tofacitinib (Lipo),10.0,DGE2
415,B11_DGE2,Ibrutinib,10.0,DGE2
416,B12_DGE2,Baricitinib,1.0,DGE2
417,B13_DGE2,Pelitinib,1.0,DGE2
418,B14_DGE2,Afatinib,1.0,DGE2
419,B15_DGE2,Nilotinib,10.0,DGE2
420,B16_DGE2,Imatinib,10.0,DGE2
421,B17_DGE2,XL019 (dsRNAmi),10.0,DGE2
422,B18_DGE2,Dactolisib,1.0,DGE2
423,B19_DGE2,IKK16,1.0,DGE2
424,B20_DGE2,Vorinostat,10.0,DGE2
425,B21_DGE2,MRT67307,1.0,DGE2
426,B22_DGE2,Crizotinib,10.0,DGE2
427,B23_DGE2,Palbociclib,1.0,DGE2
428,B24_DGE2,Ponatinib,10.0,DGE2
429,C01_DGE2,Torin2,1.0,DGE2
430,C02_DGE2,XMD16-144,10.0,DGE2
431,C03_DGE2,Vandetanib,1.0,DGE2
432,C04_DGE2,XL019 (dsRNAmi),10.0,DGE2
433,C05_DGE2,Nintedanib,10.0,DGE2
434,C06_DGE2,Dasatinib,10.0,DGE2
435,C07_DGE2,Torin2,1.0,DGE2
436,C08_DGE2,OTSSP167,10.0,DGE2
437,C09_DGE2,Celastrol,10.0,DGE2
438,C10_DGE2,Lapatinib,1.0,DGE2
439,C11_DGE2,Palbociclib,1.0,DGE2
440,C12_DGE2,y-27632,10.0,DGE2
441,C13_DGE2,PLX-4720,1.0,DGE2
442,C14_DGE2,Gefitinib,1.0,DGE2
443,C15_DGE2,KIN001-111,10.0,DGE2
444,C16_DGE2,OTSSP167,1.0,DGE2
445,C17_DGE2,JWE-035,1.0,DGE2
446,C18_DGE2,Ceritinib,1.0,DGE2
447,C19_DGE2,Ponatinib,1.0,DGE2
448,C20_DGE2,Resveratrol,1.0,DGE2
449,C21_DGE2,Lapatinib,10.0,DGE2
450,C22_DGE2,Gefitinib,1.0,DGE2
451,C23_DGE2,Ceritinib,10.0,DGE2
452,C24_DGE2,IKK16,1.0,DGE2
453,D01_DGE2,JWE-035,10.0,DGE2
454,D02_DGE2,Nilotinib,1.0,DGE2
455,D03_DGE2,Ruxolitinib (dsRNAmi),10.0,DGE2
456,D04_DGE2,Erlotinib,10.0,DGE2
457,D05_DGE2,DMSO,,DGE2
458,D06_DGE2,Nilotinib,10.0,DGE2
459,D07_DGE2,Dactolisib,1.0,DGE2
460,D08_DGE2,at9283,1.0,DGE2
461,D09_DGE2,Fedratinib (Lipo),1.0,DGE2
462,D10_DGE2,Vorinostat,1.0,DGE2
463,D11_DGE2,Ruxolitinib (dsRNAmi),10.0,DGE2
464,D12_DGE2,Ceritinib,10.0,DGE2
465,D13_DGE2,Gefitinib,10.0,DGE2
466,D14_DGE2,AZD-1480,1.0,DGE2
467,D15_DGE2,Regorafenib,1.0,DGE2
468,D16_DGE2,Erlotinib,1.0,DGE2
469,D17_DGE2,LY2090314,10.0,DGE2
470,D18_DGE2,BIX 02565,1.0,DGE2
471,D19_DGE2,BIX 02565,1.0,DGE2
472,D20_DGE2,XL019 (Lipo),10.0,DGE2
473,D21_DGE2,AZD1480 (dsRNAmi),10.0,DGE2
474,D22_DGE2,AZD1480 (Lipo),10.0,DGE2
475,D23_DGE2,Dovitinib,1.0,DGE2
476,D24_DGE2,Tofacitinib,10.0,DGE2
477,E01_DGE2,dsRNAmi,,DGE2
478,E02_DGE2,Tofacitinib,1.0,DGE2
479,E03_DGE2,Ibrutinib,1.0,DGE2
480,E04_DGE2,Belinostat,10.0,DGE2
481,E05_DGE2,Afatinib,10.0,DGE2
482,E06_DGE2,XMD16-144,1.0,DGE2
483,E07_DGE2,Pelitinib,10.0,DGE2
484,E08_DGE2,Regorafenib,10.0,DGE2
485,E09_DGE2,Ruxolitinib,10.0,DGE2
486,E10_DGE2,Sorafenib,10.0,DGE2
487,E11_DGE2,pf-06463922,10.0,DGE2
488,E12_DGE2,Neratinib,10.0,DGE2
489,E13_DGE2,Dactolisib,10.0,DGE2
490,E14_DGE2,DMSO,,DGE2
491,E15_DGE2,MRT67307,10.0,DGE2
492,E16_DGE2,H89,10.0,DGE2
493,E17_DGE2,Dovitinib,10.0,DGE2
494,E18_DGE2,H89,1.0,DGE2
495,E19_DGE2,Ponatinib,10.0,DGE2
496,E20_DGE2,Bosutinib,10.0,DGE2
497,E21_DGE2,KW2449,1.0,DGE2
498,E22_DGE2,Ruxolitinib (Lipo),10.0,DGE2
499,E23_DGE2,XMD16-144,1.0,DGE2
500,E24_DGE2,Tofacitinib,10.0,DGE2
501,F01_DGE2,Regorafenib,1.0,DGE2
502,F02_DGE2,OTSSP167,10.0,DGE2
503,F03_DGE2,XL019 (Lipo),10.0,DGE2
504,F04_DGE2,Vorinostat,10.0,DGE2
505,F05_DGE2,LY2090314,1.0,DGE2
506,F06_DGE2,canertinib,10.0,DGE2
507,F07_DGE2,Dabrafenib,10.0,DGE2
508,F08_DGE2,Sunitinib,10.0,DGE2
509,F09_DGE2,DMSO,,DGE2
510,F10_DGE2,AZ-628,10.0,DGE2
511,F11_DGE2,Ibrutinib,1.0,DGE2
512,F12_DGE2,Crizotinib,1.0,DGE2
513,F13_DGE2,y-27632,1.0,DGE2
514,F14_DGE2,Fedratinib,10.0,DGE2
515,F15_DGE2,Crizotinib,1.0,DGE2
516,F16_DGE2,canertinib,10.0,DGE2
517,F17_DGE2,Rucaparib,1.0,DGE2
518,F18_DGE2,Rucaparib,10.0,DGE2
519,F19_DGE2,Axitinib,10.0,DGE2
520,F20_DGE2,Resveratrol,1.0,DGE2
521,F21_DGE2,Dasatinib,10.0,DGE2
522,F22_DGE2,Pelitinib,10.0,DGE2
523,F23_DGE2,at9283,1.0,DGE2
524,F24_DGE2,AZ-628,1.0,DGE2
525,G01_DGE2,Fedratinib,10.0,DGE2
526,G02_DGE2,Vandetanib,10.0,DGE2
527,G03_DGE2,Enzastaurin,10.0,DGE2
528,G04_DGE2,Sorafenib,10.0,DGE2
529,G05_DGE2,Baricitinib (Lipo),1.0,DGE2
530,G06_DGE2,Dactolisib,10.0,DGE2
531,G07_DGE2,Vandetanib,1.0,DGE2
532,G08_DGE2,Fedratinib,1.0,DGE2
533,G09_DGE2,Tofacitinib (Lipo),10.0,DGE2
534,G10_DGE2,Belinostat,10.0,DGE2
535,G11_DGE2,Baricitinib (dsRNAmi),10.0,DGE2
536,G12_DGE2,AZ-628,1.0,DGE2
537,G13_DGE2,Baricitinib,10.0,DGE2
538,G14_DGE2,Lapatinib,1.0,DGE2
539,G15_DGE2,Nintedanib,1.0,DGE2
540,G16_DGE2,AZD-1480,10.0,DGE2
541,G17_DGE2,Ceritinib,1.0,DGE2
542,G18_DGE2,Neratinib,10.0,DGE2
543,G19_DGE2,Dasatinib,10.0,DGE2
544,G20_DGE2,Tofacitinib,10.0,DGE2
545,G21_DGE2,Celastrol,10.0,DGE2
546,G22_DGE2,Staurosporine aglycone,10.0,DGE2
547,G23_DGE2,JWE-035,1.0,DGE2
548,G24_DGE2,Crizotinib,10.0,DGE2
549,H01_DGE2,Sunitinib,1.0,DGE2
550,H02_DGE2,Belinostat,10.0,DGE2
551,H03_DGE2,Belinostat,1.0,DGE2
552,H04_DGE2,Bosutinib,10.0,DGE2
