Gene	logFC	logCPM	LR	PValue	FDR
IFIT3	-0.804584440378916	6.03288363562559	38.4500242724604	5.61738829498942e-10	2.0728162808511e-07
UPP1	-0.755467073310488	5.89024823239546	38.2497950251569	6.22436150103745e-10	2.24991614094643e-07
THBS1	-0.854502914297951	5.7698179426964	37.9492188900482	7.26101352035274e-10	2.57214142944975e-07
BUB3	-0.434981719970715	9.6897538729365	37.6457668354222	8.48305730193912e-10	2.94611590062639e-07
MX1	-0.963925816922719	5.41241405521458	37.3825994139493	9.70844556374363e-10	3.30684591971206e-07
TNFAIP2	-0.615344890464329	7.17544382734529	36.7025360273408	1.37600318836493e-09	4.59844688156975e-07
HS3ST3A1	-1.44240422005946	4.32906114861497	36.5397118183103	1.49587413516049e-09	4.90164078267379e-07
S100A10	-0.524330688960808	9.1583880460011	36.5058637029123	1.52207680130453e-09	4.90164078267379e-07
DDIT3	-0.815391171598573	6.46712799499439	36.1680445286983	1.81014578443726e-09	5.72523252392012e-07
PXDC1	-0.690220446129197	5.67058573337607	36.0718067061481	1.90178567328225e-09	5.90954874476758e-07
AHNAK2	-0.842172489535409	6.02203280545633	35.9926727921859	1.98060915299175e-09	6.04837057203274e-07
CHORDC1	-0.474138571979459	6.35896483285561	35.7614241679988	2.23020348484799e-09	6.69514646163179e-07
BOLA2-SMG1P6	-0.488211374362022	6.28130849721249	35.6591955447099	2.35035812461626e-09	6.93825718386719e-07
RPF2	-0.510616715915955	6.07479091471806	35.6142486556565	2.40521797535942e-09	6.98380668517475e-07
TFPI2	-1.33715620852848	5.05074773376019	35.4157811805014	2.66320302786605e-09	7.60816968218766e-07
CCND1	-0.738378552550983	6.30309422364346	35.0986398864729	3.13419630148447e-09	8.70662036128809e-07
POMP	-0.317555573034309	8.60189511722023	35.0913053140599	3.14602361744827e-09	8.70662036128809e-07
ISG15	-0.962665219250564	6.30033282964899	34.8480509497953	3.56466233091485e-09	9.71343064694828e-07
NTMT1	-0.534874590081408	5.74308387785929	34.6112565953934	4.02571607679438e-09	1.07415127247812e-06
ID2	-0.494445851510377	6.88343266734683	34.5931954586142	4.0632416020796e-09	1.07415127247812e-06
DLL1	0.496243496533638	6.45618367453951	34.3875124589162	4.51611559753821e-09	1.17349106841352e-06
TUBA1C	-0.364858990549526	8.80408832724139	34.3637775721348	4.571526858657e-09	1.17349106841352e-06
PTRH2	-0.522799471714885	6.10201071811935	34.091800133764	5.25723389106596e-09	1.33023038112229e-06
MRPL36	-0.326353952129996	7.62712712398532	34.037028549481	5.40731834863275e-09	1.33126431614141e-06
CTNNAL1	-0.626413568958921	5.38438413542713	34.0354727766089	5.41164356155045e-09	1.33126431614141e-06
MAP1B	-0.260311796182739	9.95380188781636	33.7886268233667	6.14369837327399e-09	1.49064637790998e-06
NFKBIA	-0.720359903693262	5.79426015487689	33.7004525055723	6.42857320613182e-09	1.53868768414874e-06
YWHAG	-0.383501372329141	6.94402060193623	33.5759733266094	6.85340757859451e-09	1.61227538463336e-06
NRP2	-0.604827272349609	5.76740561975286	33.5348506906564	6.99984521583685e-09	1.61227538463336e-06
TCF4	0.269801871772469	7.88235782981018	33.5322803858157	7.00910143500275e-09	1.61227538463336e-06
AC009163.2	-0.883828197549384	5.07829258607941	33.2576755651939	8.07205119642629e-09	1.81220084615373e-06
PFKP	-0.728290557478376	5.70379550700628	33.2550699966243	8.08287414443005e-09	1.81220084615373e-06
CEBPD	-0.871254074214281	5.59850886778664	32.9638318151766	9.38893779413019e-09	2.07871082762042e-06
GLUL	-0.515391748420572	7.03462216843372	32.4638434241281	1.21430855441641e-08	2.65209098634546e-06
CACYBP	-0.452115055300609	6.89609375883188	32.442339700233	1.22781990108586e-08	2.65209098634546e-06
TALDO1	-0.333780981733797	8.12657946320017	32.388652224067	1.26221409121256e-08	2.69353445585023e-06
PDP1	-0.834684905366759	4.92148565168883	31.9034799619263	1.62026617387011e-08	3.41644696090326e-06
CD44	-0.577295142099622	7.43872906778126	31.7988149040203	1.70997047601524e-08	3.56317612602141e-06
MT1X	-0.664977851160551	7.87086438212885	31.5731392147752	1.92068011360723e-08	3.95570769444316e-06
PSMA6	-0.283049736374002	8.24011544744717	31.3324269073489	2.17417739904981e-08	4.42632529792762e-06
RNF181	-0.28339209675233	7.77887020433447	31.1492495114912	2.38931719505877e-08	4.74112138730743e-06
RRBP1	-0.418340723341197	6.14395210409188	31.1335256599791	2.40874996995591e-08	4.74112138730743e-06
TUBG1	-0.470178773345329	6.30444494798898	31.1332384493444	2.40910639598955e-08	4.74112138730743e-06
SH3BP5	-0.610812661802784	5.63128848350044	30.9557906880838	2.6397330645175e-08	5.13790681744329e-06
ATP6V1F	-0.333732180160574	8.410861739265	30.8399479308129	2.80209807362143e-08	5.39464794347639e-06
ARC	-1.58223253918312	4.31992575623529	30.6546032933776	3.08294307719681e-08	5.87151481540967e-06
ELOC	-0.280832721471342	7.70612376234995	30.5762238071579	3.21003546111349e-08	6.0485263922598e-06
NPC2	-0.314800369668734	7.96230466098551	30.2628224690627	3.7728872910878e-08	7.03425049471023e-06
NOP16	-0.578510588884529	5.87815235092462	30.0898641927336	4.12481474544223e-08	7.4609628789155e-06
PLIN2	-0.527638332057266	5.8122206285778	30.0887274109557	4.12723339862432e-08	7.4609628789155e-06
LGALS3	-0.577658135027694	6.22730026553639	30.0883062346241	4.12812986751196e-08	7.4609628789155e-06
FOSL2	-0.666652891392776	5.47175075981017	29.94646943936	4.44139852876398e-08	7.94606573146138e-06
AP1S2	-0.346903133092809	6.9057711854165	29.7498489450748	4.91544600766098e-08	8.70623796876913e-06
TIMM17A	-0.337285604931702	6.9089444601575	29.4558737545158	5.72044042590867e-08	1.00317268142272e-05
NDUFAF4	-0.504093438464065	5.63340245087279	29.432218240347	5.79069151730133e-08	1.00553655053374e-05
AKAP2	-0.599271107317716	5.57294987069711	29.1528820641192	6.68861737313185e-08	1.15018243604768e-05
LRRN3	0.466887563594111	7.29761675847599	29.0313197758144	7.12175271683511e-08	1.21288927039023e-05
PMAIP1	-0.872956875920802	4.95523760298846	28.9781012777131	7.32011508674196e-08	1.2347988420607e-05
GNL3	-0.45067695862061	6.52845227275327	28.8682610391058	7.747203771224e-08	1.28289530390421e-05
S100A13	0.341184061718783	7.92130161665401	28.8675367070133	7.75010148587117e-08	1.28289530390421e-05
CXCL10	-0.680600104349789	5.58651088503899	28.8245602708574	7.92398820885215e-08	1.29469787317926e-05
PLCG2	-0.685005888815664	5.76098030963993	28.813930624586	7.96759644176489e-08	1.29469787317926e-05
EEA1	-0.508001464136029	5.89749025285637	28.7764347893055	8.12335270764074e-08	1.30800748325212e-05
TPM4	-0.410363179395992	6.64764646936983	28.7144575694435	8.38752176780419e-08	1.33837644640854e-05
SERPINE1	-1.14688278944458	4.65294523653249	28.6688576969613	8.58736602714577e-08	1.35803059886434e-05
RPP40	-0.745024659781491	4.97788969786123	28.5662128817179	9.05484631937031e-08	1.41928706202378e-05
STK40	-0.646702014207628	5.15194232480632	28.5148923922083	9.29805563199105e-08	1.44462422240198e-05
TSNAXIP1	0.533645505522175	5.43856652213779	28.4218182740732	9.75596030851449e-08	1.48998337321964e-05
CHD7	0.285602028140278	7.4139986417047	28.4213645451475	9.75824702424788e-08	1.48998337321964e-05
DDX21	-0.423538911209261	6.55560966988882	28.3767869467206	9.9855490691328e-08	1.51165850523487e-05
PAQR3	-0.643009951726332	5.01822546366262	28.1181007715667	1.14133395026524e-07	1.71316160399135e-05
RRAGC	-0.488023398863591	5.40685678177941	28.0955236795165	1.15472633833761e-07	1.71869856341477e-05
CRIM1	-0.60988570935747	5.49244075444884	28.0647879564391	1.17321178618479e-07	1.73166059640875e-05
CREB5	-0.744286165825027	5.00616924739934	27.9005925660418	1.27710649990971e-07	1.86943060548767e-05
HES5	0.831540071454338	5.21303910328648	27.859030753092	1.30483611597974e-07	1.89436535133059e-05
CTGF	-0.884372394521179	6.91634085155257	27.6599294594905	1.44627763225223e-07	2.0826397904432e-05
PALM2-AKAP2	-0.591021334973255	5.47360254705278	27.5027860544101	1.56868369080871e-07	2.24068754287128e-05
DPM1	-0.457856630126215	6.22320631702814	27.4347912472725	1.62481651734911e-07	2.302300012423e-05
METTL7B	-0.658533335951546	5.82660879485604	27.416890402471	1.63992634507563e-07	2.30526789079202e-05
INSIG1	-0.526633879377969	5.65316044196819	27.3759768940891	1.67499167660039e-07	2.33601988786977e-05
MYC	-1.5726713920957	4.38423547053081	27.3524550833503	1.69549045617107e-07	2.34613491872672e-05
MYL12A	-0.294134864950217	7.9499079578439	27.3094584830753	1.73361317942591e-07	2.37952012827949e-05
PUM3	-0.474282698991992	6.06539506242551	27.2951535491405	1.74648609234606e-07	2.37952012827949e-05
LDHA	-0.416059368739257	8.07668806878419	27.2777147448455	1.76230880601364e-07	2.38274912764225e-05
EIF2S1	-0.31461190306829	6.88979312640549	26.9118926290863	2.12944528515277e-07	2.85732840080499e-05
SSR3	-0.281405752601039	7.88731312146804	26.5717845657184	2.53925228911689e-07	3.38159673269462e-05
CD63	-0.349104770795866	9.46074927703147	26.5433834578677	2.57685757631085e-07	3.40007304972815e-05
ZNF404	0.498708622804468	5.49556683070132	26.532422866296	2.5915190927806e-07	3.40007304972815e-05
TIMM8A	-0.538388376499178	5.32292413790038	26.4842182138931	2.65699938323907e-07	3.46035096146547e-05
OSER1	-0.419357334913318	6.22712957848101	26.4522911993157	2.70127883355809e-07	3.49233946715189e-05
PSMA3	-0.295818479291353	7.54705052015598	26.363232473125	2.82874263819133e-07	3.63062968171339e-05
GCLM	-0.501121716312032	5.60009637965048	26.0279474702264	3.36510647430289e-07	4.28796876783114e-05
SRXN1	-1.0449013101409	4.67673963150226	25.902879544865	3.59033169036064e-07	4.54228249283341e-05
DNAJB1	-0.559629099513179	5.66458207403901	25.7257078646684	3.93549547797033e-07	4.94365219190146e-05
CD9	-0.373993619765157	6.70095157945778	25.61718838335	4.16314467724088e-07	5.19279003685144e-05
ZNF3	-0.316280909772772	8.5602269743334	25.4383002730458	4.5675928144191e-07	5.6574268481812e-05
UBC	-0.271913073063223	10.4259077011481	25.3168007466141	4.86453170359791e-07	5.98337399542543e-05
GFPT2	-1.24412515450318	4.28673582917872	25.2611245363552	5.00699433393992e-07	6.08125944096663e-05
LMO4	-0.482912878859762	5.95597159327788	25.2588964998557	5.01278160784287e-07	6.08125944096663e-05
LONRF2	-0.470627255114185	5.28608112372263	25.2291903153566	5.09058659431051e-07	6.13363739853249e-05
TRIB3	-1.08936240760839	4.85228860522102	25.1906814496846	5.19325201058706e-07	6.20560171803309e-05
PTP4A1	-0.488280488793082	5.80939257187282	25.1806314652825	5.22038536577986e-07	6.20560171803309e-05
TOMM5	-0.373987680223897	7.48258226370961	25.1476736700482	5.31036745841893e-07	6.27048189490107e-05
ATP6V1D	-0.305151172695253	6.66935675604672	25.0697125178456	5.52945750517027e-07	6.4859437967931e-05
CYCS	-0.295810572517102	8.298017968242	24.8648279038688	6.14942090385873e-07	7.16569362165433e-05
PSMA5	-0.271709147303007	7.55964916940172	24.8191861358234	6.29675936504871e-07	7.28942495906815e-05
AL121758.1	-1.02232394135447	4.67520927189321	24.799004582068	6.36303205415265e-07	7.31831323007479e-05
NDUFAF2	-0.554963442595163	6.03711687143867	24.7782734613979	6.43183769495443e-07	7.34972317761502e-05
MCAM	-0.431979310399298	5.89626834124768	24.7377418839782	6.56852265693983e-07	7.45779957049477e-05
IL1RAP	-0.6281532364688	4.99623758636663	24.5512493070174	7.23594124431778e-07	8.16324785473609e-05
NEFH	-1.08262889191069	4.31223913161762	24.3888564100363	7.87227479225886e-07	8.82491969117018e-05
SLC27A3	0.724156932463717	5.84388915707094	24.3633625074713	7.97714749823346e-07	8.88624128859818e-05
TCP1	-0.303368494328367	7.57334775121643	24.348266167501	8.03990760046854e-07	8.90017771371867e-05
GEM	-1.00970478537746	4.4203559946225	24.331896257056	8.10852198879686e-07	8.92038145748882e-05
ARL4C	-0.402487309324671	6.39402249549321	24.2878489227463	8.29607590551566e-07	9.07037632336379e-05
S100A11	-0.370379829214834	8.4144262694962	24.2625202296243	8.40588931595239e-07	9.13405592418091e-05
ARF4	-0.203006988634453	7.71570355561863	24.1416108130896	8.95052257489324e-07	9.52417971893706e-05
CCT5	-0.302688825325107	7.77022896069335	24.1401942235706	8.9571089577623e-07	9.52417971893706e-05
BOLA2B	-0.481751511211356	6.249063079135	24.1399920835964	8.95804919657882e-07	9.52417971893706e-05
IFI44L	-0.58945302710094	6.32909043307087	24.1352784627451	8.98000233210528e-07	9.52417971893706e-05
CDCA7	-0.804108430308401	4.66606200849875	24.0643344576345	9.31700806336444e-07	9.82278850108993e-05
OASL	-0.769703958370443	4.72587864552929	24.0482831164741	9.39499952945949e-07	9.84640424057908e-05
HSPD1	-0.358653951220343	9.19340979669209	24.0152964204871	9.5573390803343e-07	9.95762292887536e-05
MRPL18	-0.344400208028766	6.69731211552691	24.003980397541	9.61367494562974e-07	9.9577433121049e-05
DCAF13	-0.323939211319378	6.71040300501146	23.7719807154311	1.08449747089521e-06	0.00011167801863079
IRS2	-0.447299753681615	6.32928424372994	23.6931598623624	1.12983389616275e-06	0.000115674092305403
TSPAN18	0.82795563712866	4.84468375912591	23.6428634940365	1.15975205364601e-06	0.000118054760771138
PDLIM4	-0.336777459954006	7.10615588284647	23.5719598264401	1.20328269476991e-06	0.000121155178390728
CA2	-0.440508723107664	6.66388738125496	23.5709878770847	1.20389066151582e-06	0.000121155178390728
OCIAD2	-0.598133305536714	5.05911021302815	23.4879398520832	1.25699245891652e-06	0.000125784465719375
ATP6V0E1	-0.244366821548305	8.23246129253294	23.3685867413585	1.33744899303683e-06	0.000133083688565552
DNAJA1	-0.271714700403133	8.46643482320107	23.3183446326475	1.37284371867512e-06	0.000135421607214208
CRACR2B	-1.34380030465547	4.24985336978704	23.3135979792376	1.37623584567285e-06	0.000135421607214208
ID1	-1.06266869541086	4.4105317518768	23.2512522313948	1.42157857049099e-06	0.000139110495251582
CALU	-0.246962930298525	8.07668356465618	23.216117828627	1.44778809170006e-06	0.00014089682791314
PFDN2	-0.459464975606075	5.58610711129505	23.1553914939632	1.49423663272205e-06	0.000144622509501492
CAPN2	-0.361074302761619	6.4187470155123	23.1435677424811	1.50345278844638e-06	0.0001447236727661
HS6ST1	0.388529739663209	6.61744580780287	23.0733803855166	1.55934692791522e-06	0.000149292717768835
TPPP3	0.519636891704445	7.14809648578085	23.0032633910155	1.61726634740669e-06	0.000152411749048944
C5orf63	-0.362927168741833	8.28258714287051	23.0029531620419	1.61752734569845e-06	0.000152411749048944
ZSCAN18	0.353090971592692	6.34715336629935	23.0027005711725	1.6177398837625e-06	0.000152411749048944
HSPA9	-0.371783480378193	7.23534237281142	22.9841352097984	1.63343831140459e-06	0.00015307650461163
ALDOA	-0.316101755615587	8.18879330026083	22.9281837116858	1.68167982836265e-06	0.000156686963955109
CBR3	-1.07218047576976	4.38034939023265	22.919086658668	1.68965730100643e-06	0.000156686963955109
CBR1	-0.407670959101338	7.54093420158461	22.9005060757816	1.70606929768924e-06	0.000157384892711833
LIMA1	-0.386089610403435	6.09019600122684	22.7225734275808	1.87156323480511e-06	0.00017175713997341
DUSP10	-0.768494909316482	4.6234831394314	22.6791698310513	1.91431875537011e-06	0.000174775328840801
VPS26A	-0.388787204385366	5.52665341790298	22.6641355579903	1.92935589380576e-06	0.000175053558319385
HES6	0.462680880914591	8.6624103336478	22.6564061120453	1.93713287209798e-06	0.000175053558319385
ATN1	0.322381204702814	6.55388227318707	22.6263108023086	1.96771400751795e-06	0.000176914469549025
ROBO3	0.775001497726407	5.47096343290235	22.5940174644118	2.00106751787567e-06	0.000179004585235424
HMGA1	-0.662166375427403	5.39326680751759	22.5212179902496	2.07835221020297e-06	0.00018498379068902
PLPP3	0.272852706605793	7.62253622347297	22.4960750893434	2.10573409860362e-06	0.000186483811772336
FOSL1	-1.18261276029477	4.40165488250098	22.426086782028	2.18387577786528e-06	0.000192441829739054
COX17	-0.301904187866861	6.72164593905022	22.3830179383517	2.23340113352167e-06	0.000195831687509583
ATP5MD	-0.304385872354364	9.31102553264444	22.313556866636	2.31566031496162e-06	0.000202044214278819
HBEGF	-0.982608341856465	4.55762041815889	22.2693430483251	2.36959669115104e-06	0.000205736748008173
CXCL3	-1.45594300249158	4.30939214533626	22.2595357182571	2.3817304083617e-06	0.000205781507282451
AL138752.2	-0.388195970129296	6.59996198722152	22.1687358567632	2.49707125268135e-06	0.000214699640910155
OSGIN1	-1.26307205070781	4.38473294208302	22.1341752769746	2.5424307691099e-06	0.00021754364146123
STEAP1	-1.07338487690741	4.2371132084586	22.0255993981122	2.69038141492182e-06	0.00022909632510142
B2M	-0.270542299545287	10.309255266201	21.8870090308088	2.89185028637195e-06	0.000245073934316842
ABCA5	0.398244187427531	5.76303944343101	21.8654878829255	2.92446581179363e-06	0.00024665780218328
ATP6V1E1	-0.292706987709726	7.00375076124289	21.7431035368209	3.11708371484155e-06	0.000261657757143476
RAB10	-0.31067688081122	6.25556087634948	21.7194395918413	3.15577131254856e-06	0.000263655761735189
DDX58	-0.824007972723964	4.73713629523761	21.6930874588537	3.19942103824188e-06	0.00026588394408921
ARPC4	-0.239860739541795	7.20637409771581	21.6785858782854	3.22369936539238e-06	0.00026588394408921
SLC25A4	-0.410132236136147	6.23119460620103	21.6763401594767	3.22747560858063e-06	0.00026588394408921
HSPA5	-0.279594471991752	8.08587479478187	21.6485938931031	3.27449960540688e-06	0.000267826511041276
GTPBP4	-0.330468639444323	6.60919515425185	21.6378079586582	3.29296447770585e-06	0.000267826511041276
MAGED4	0.347759323244501	6.68355518755903	21.6357966000157	3.29641934321354e-06	0.000267826511041276
POLR2L	-0.326552262978067	8.20527744304003	21.5170367569577	3.50699142809238e-06	0.00028363393686928
ZFP36	-0.748359462151481	4.59459200060626	21.4828396945798	3.57009207488548e-06	0.00028742486741078
SELENOK	-0.219410185976393	8.21617318022945	21.4421763576058	3.64660885217907e-06	0.000292256723935727
R3HCC1	0.373328144691734	5.65834729178666	21.3703383464025	3.7858315203017e-06	0.000302047963457585
ARID5B	-0.290557755930709	8.45995100003492	21.3474247759017	3.83135065448187e-06	0.000303398940393945
RASSF4	0.452362002595892	6.93266797244107	21.3445882547016	3.83702363641845e-06	0.000303398940393945
NOP10	-0.245166676281845	8.56009832002208	21.2599397525315	4.01025410510425e-06	0.000315687203153806
WEE1	-0.455666648208419	6.17362808323372	21.2105657338947	4.11489836759031e-06	0.000322491503923715
MAGED4B	0.35006662443388	6.6235649553782	21.0896713004271	4.38284166525958e-06	0.000341722413225117
LCAT	0.450353067501882	5.48606940299852	21.0826782513238	4.39886575289785e-06	0.000341722413225117
EIF2B3	-0.399739687634317	5.89042738375006	21.0321294679599	4.51645671547802e-06	0.000348845149071589
KLC4	0.495602210053081	5.10130572138563	21.0264159402356	4.52994491228915e-06	0.000348845149071589
HYPK	-0.244712932872454	8.35347883141084	20.9734906099892	4.65682589371387e-06	0.00035706363735697
AGPAT5	-0.362803132893591	6.11094880306201	20.8263103802428	5.02873751301101e-06	0.000383918098407116
PRDX6	-0.256106510982662	9.05367268290998	20.7781869879246	5.15669679873361e-06	0.000391997483687423
CDV3	-0.402695707177531	5.96408397636894	20.7472767640711	5.24060507424172e-06	0.000396673491773373
ALDH6A1	0.210644372853441	7.63864733267823	20.7168396405183	5.32456805539311e-06	0.000400185552626083
SMOC1	0.39848939198234	6.9396611061108	20.7083454153664	5.348240038558e-06	0.000400185552626083
G3BP1	-0.237153120911017	7.00249866037485	20.7060030573736	5.35478635797096e-06	0.000400185552626083
CISD1	-0.302147330241818	7.03190546329979	20.6902689792653	5.39896820382349e-06	0.000401792121118158
VPS53	-0.268348287713998	6.426820485005	20.6385974073443	5.54665397982809e-06	0.000411055796195461
KLF10	-0.598942812157966	4.90680888462877	20.6194145115968	5.6025080970171e-06	0.000412021021072519
GJC1	-0.265830344397025	6.32969737759162	20.6181523157645	5.60620291770986e-06	0.000412021021072519
MYL12B	-0.218953689320573	8.45382544650392	20.4392420396317	6.15545869937863e-06	0.000450518530923117
LIMCH1	0.260117657045179	7.74365747186816	20.3579314438724	6.42263220927962e-06	0.000467696802744449
EFHD2	-0.758616099796086	4.72968101025872	20.3477604728525	6.45686135670153e-06	0.000467696802744449
CLIP3	0.344572511230489	6.80101999863009	20.3440531791316	6.46938328096149e-06	0.000467696802744449
NCSTN	0.288777157725908	6.32019663644949	20.2731322974896	6.71367826835825e-06	0.000483384835321794
RRP9	-0.510502202555418	5.64373460963367	20.1113313768425	7.3062521263049e-06	0.000523920395389119
PNISR	0.22051953202177	8.09238420133055	20.0911705104054	7.38367665474903e-06	0.000527304996212503
BEX1	0.332925941760925	7.88969553729838	20.0835918820538	7.41299367981669e-06	0.000527304996212503
RHOB	-0.496403108881683	5.67204381923458	20.038176703386	7.59114158161684e-06	0.000536744070079029
NFIL3	-0.998074924076547	4.2915500916823	20.0343622353729	7.60629864441262e-06	0.000536744070079029
ITGA5	-0.949829356497431	4.32370118102144	20.011928789948	7.69605632292385e-06	0.000540922815839791
DNAJB6	-0.280287245106379	7.32808516083877	19.9847090920095	7.80639316565288e-06	0.000546509232213612
OAS1	-0.612570774857391	5.20444222923707	19.7415088093236	8.8654706444065e-06	0.000618209512022551
LYPD3	-0.61951341426837	4.12834281029704	19.7194972262501	8.96817063486997e-06	0.000622918581509086
FGF18	-1.12181582253957	4.3518632451375	19.7030061232194	9.04589552504507e-06	0.000625862896639056
TMSB4X	-0.323451060069662	12.2916477515937	19.6611789168632	9.24607981113161e-06	0.000637223990718922
RAB31	-0.252362332996989	7.61869447858462	19.6410591972404	9.3439508264606e-06	0.00064147308929562
MRPL14	-0.33593578230911	6.47203982853722	19.6291381339864	9.40243006736355e-06	0.000642995526460012
SYT11	0.199771913736822	8.1194374580842	19.582080028173	9.63688616775175e-06	0.000656494337704688
UTP11	-0.270741183842222	6.53883609877511	19.560951030812	9.74405743588865e-06	0.000661251897718236
TCF12	0.234723910691863	7.4423694246034	19.5493202121951	9.80356153239062e-06	0.000662750694128636
NEFL	-0.59715027106377	6.30975077364919	19.5309820272649	9.89812300793526e-06	0.000666599067363305
M6PR	-0.347512711101568	5.98756367088773	19.5217276890072	9.94619047012625e-06	0.000667298960632106
GBP1	-0.80477399047315	4.89667627990772	19.5079618584433	1.00181247974361e-05	0.000669588778913915
HPRT1	-0.79356032306497	4.59608803511463	19.4103274180172	1.0543536282302e-05	0.000702056821925314
PHLDA2	-1.55803039721058	4.24930634239068	19.342443070067	1.09250743769828e-05	0.000724737518221423
PBXIP1	0.350436545792259	6.66827161192667	19.2966113072033	1.11904780435915e-05	0.000739573683239151
PELO	-0.5393786807581	4.81040857978164	19.2448550577867	1.14979819772716e-05	0.000757071586548087
