genes	logFC	logCPM	LR	PValue	FDR
PSMC3	-0.585341647445631	7.50170872834539	99.2428052157677	2.23366607073148e-23	9.20062638251067e-21
FLG	2.19686785468265	5.1591769845944	98.6451970607945	3.02046279083548e-23	1.2158735670745e-20
MT-ND4L	-0.652941832667243	7.96534201828065	98.1542904046246	3.87021300079824e-23	1.52331583711419e-20
NME2	-0.565120070435057	9.29757750059828	98.0168530813971	4.14836880482099e-23	1.59730235371716e-20
TTYH1	0.892130778819963	7.83216021320526	97.1748599207551	6.34673998553769e-23	2.39177571540093e-20
PSMB6	-0.474668682047328	8.88614752488813	95.857360244754	1.23466145071416e-22	4.55590075313526e-20
MTPN	-0.476729654451375	7.46281831085715	94.0406045255751	3.09117194246635e-22	1.11736402948906e-19
SKIL	0.733564794753775	6.20156378204064	93.8954288802547	3.32641436269311e-22	1.17834902384041e-19
EIF5A2	0.599790643887595	7.08870826275231	93.796680824162	3.49657683740752e-22	1.21434056753259e-19
CFAP36	-0.557127974723028	6.92971820357411	93.4391258868636	4.18887746666586e-22	1.4060884756454e-19
GDF7	-1.17095384481862	5.04233898934986	93.4303608559431	4.2074689029588e-22	1.4060884756454e-19
MRPS16	-0.539712726998071	7.340532120772	92.6558228051831	6.22272273552945e-22	2.03408107136931e-19
PTMS	0.815885072127011	7.28718530907512	92.6262803284034	6.31630865657815e-22	2.03408107136931e-19
AGTRAP	-0.657636819652183	6.65456650762697	91.8910349071103	9.15829797042866e-22	2.89663881521844e-19
PPM1K	0.298677757527574	8.88032818936879	91.1336727584716	1.3428692126125e-21	4.17278938487591e-19
HMGN2	-0.727693067929577	8.79177303247732	91.0867633821235	1.3750846388854e-21	4.19922398688591e-19
INTS6	0.388130290214403	7.68214524598738	90.8199761924981	1.5735667973095e-21	4.72390086677049e-19
NDUFV2	-0.507066980825108	7.66475710925769	90.6802662863392	1.68869069701721e-21	4.9850149375948e-19
POMP	-0.468385960174333	8.60424731151529	90.014033823756	2.364766703198e-21	6.86635210607262e-19
IRF2BPL	0.430615894112065	8.62543314079789	89.9231668012729	2.47590807364412e-21	7.07311029038462e-19
ACAT1	-0.582826311211807	7.02003020346851	89.5481929593943	2.99259022918692e-21	8.41345367291408e-19
ANAPC11	-0.463484562098128	9.09483173084713	88.568706909412	4.90995326451202e-21	1.3588295659537e-18
NDUFB6	-0.501011141769684	8.32834029027635	88.130022150341	6.12902826924796e-21	1.67011305699877e-18
SEZ6	0.39178775193048	9.60363395165547	88.0203860756397	6.47833324926144e-21	1.73854906834725e-18
FAM32A	-0.451140410559561	7.40016200667544	87.8879419276482	6.92696683426764e-21	1.83120054579923e-18
GNG5	-0.479296965612776	8.07182230589489	87.6999614121568	7.61758782986681e-21	1.98415758297942e-18
MTRNR2L10	-0.524232844753946	10.3867253703438	87.6140561056161	7.95572529430186e-21	2.03571250707631e-18
MLLT3	0.266757227985227	9.78340403844321	87.5606263100965	8.17356479616145e-21	2.03571250707631e-18
NME1-NME2	-0.518864788159966	8.91199449514016	87.5526917846914	8.20641966837662e-21	2.03571250707631e-18
TIMM8B	-0.505061925166952	8.65124520111478	87.5361706328501	8.27525409380614e-21	2.03571250707631e-18
DNAJC19	-0.652540356059841	6.75225198739006	87.3632750036228	9.03119387272404e-21	2.19123980648888e-18
SEM1	-0.418829828447317	8.9735438323268	86.9401503777514	1.11855374926634e-20	2.67727351446019e-18
AGRN	0.614677580720489	6.91744498604257	86.8849009560931	1.15024180523111e-20	2.71641104723379e-18
PSMD6	-0.639655570268438	6.69761150202915	86.7730526995405	1.21716737987543e-20	2.83664060952022e-18
GSTP1	-0.591620187922608	10.1649567622825	86.698156429874	1.26414600433029e-20	2.90786415957117e-18
WRB	-0.460911390612582	7.82259814009169	86.3216776257025	1.52923026033802e-20	3.4725290219368e-18
LSM3	-0.444124494748383	7.99754258034957	85.9836252190968	1.81431783394231e-20	4.06774651579572e-18
HLA-A	0.935951064559036	6.15721301660465	85.7907735767684	2.00017231172169e-20	4.42838149815182e-18
PCDH8	1.21905650708514	6.02861280975298	85.7113118856687	2.08218387091031e-20	4.55304206439054e-18
COX8A	-0.493230848458752	8.94570041079726	85.2456226542236	2.63511182463085e-20	5.69184154120264e-18
LAMTOR5	-0.402519849608325	8.28641920790428	85.0872744392404	2.85481978028801e-20	6.09211662029653e-18
DSTN	-0.445997373052478	8.21382539208957	84.7688100987858	3.35373294897428e-20	7.07158547526577e-18
CSTB	-0.589438022960529	8.03267925636465	84.7035074533973	3.46634973327567e-20	7.22305723244456e-18
SBNO1	0.501985805281752	7.47843241164501	84.1895375421734	4.49543339341942e-20	9.25850189119126e-18
HSPE1	-0.600953069977226	9.01924356112497	83.8801526867539	5.25696525238083e-20	1.07024561551919e-17
CLIP3	0.661179391416464	6.8016912805512	83.5879162744953	6.09444535139797e-20	1.22664563709046e-17
NDUFA1	-0.370541519819659	8.65911132485811	83.0705571415075	7.9176246905356e-20	1.56834314331472e-17
DOCK7	0.260729610795706	9.1452398588508	83.057716639496	7.96922328920083e-20	1.56834314331472e-17
RPL27A	-0.710079825530133	11.3141809362133	81.7713308049615	1.52778739321364e-19	2.95742669776316e-17
HIST1H4C	-1.05137739418068	8.84403702431055	81.7605395377882	1.53615207878393e-19	2.95742669776316e-17
RPL18A	-0.668344633144868	11.1611911785534	81.1185055295643	2.12579978846502e-19	4.02244774387482e-17
SLIT1	1.22749791626619	5.71648122939169	81.1101860693165	2.13476788575109e-19	4.02244774387482e-17
BUD23	-0.987103494174478	9.51663898028142	81.0017477167416	2.25518145769943e-19	4.20460778723919e-17
ATP5MPL	-0.366828716081308	8.82230631461245	80.7898150786175	2.51048540381074e-19	4.63184557003081e-17
FOXP1	0.431130494816743	8.27213003817307	80.6650530673159	2.67409714726961e-19	4.88284625489066e-17
PSMD4	-0.475328910097741	7.81254099339873	80.5587994876713	2.82182043714605e-19	5.10000852885008e-17
C11orf58	-0.337851322077064	8.37046369823008	80.4818120934957	2.93392988836176e-19	5.24906729117814e-17
CDKN1C	1.50509214153651	4.92677597217839	79.3733143323366	5.1415911569412e-19	9.10678625717425e-17
DKK3	0.642071699663892	7.49916836441522	79.3232888916111	5.2734408169595e-19	9.16334399649037e-17
SNRPE	-0.505834362759037	7.80704766396322	79.3219583359637	5.27699349391383e-19	9.16334399649037e-17
MPV17	-0.511303230372328	7.21289549322443	79.2669557178596	5.42596852504435e-19	9.33055869083354e-17
SNRNP27	-0.637564766426015	6.50311999565356	79.125938710454	5.82741807629924e-19	9.92454124686655e-17
AC011448.1	-0.630016104582426	7.29176186074182	78.9514824194926	6.36541535103439e-19	1.07375463521449e-16
SELENOF	-0.371577204103618	8.23213684724	78.5795584063001	7.68404414467836e-19	1.28396028198626e-16
ATP5ME	-0.442861842637544	9.40778938012721	78.4443985762902	8.22818961268587e-19	1.36203452728871e-16
GNAI2	0.636624391955669	8.5421411958265	78.3968932289437	8.4284619375969e-19	1.38226775776589e-16
GAP43	-1.00667174883231	8.24360363468449	78.2662712285554	9.0046313241356e-19	1.46321128452376e-16
BEX3	-0.492623458801019	9.19606800769228	78.2381926471406	9.13354062636757e-19	1.4706661052202e-16
FAM96A	-0.618045123107664	6.29684639277675	78.1546736189359	9.52799311246414e-19	1.52035868475644e-16
ATP5MD	-0.520224700471222	9.31378017456791	78.074622483804	9.92205167074623e-19	1.56910159993087e-16
NDUFS5	-0.559232012191854	9.3375742731004	77.9739976250268	1.04405934189776e-18	1.63649372245072e-16
AHCY	-0.555406022737309	7.7425322990053	77.6641418277366	1.22138681246481e-18	1.89764940547164e-16
SNRPG	-0.492841485810508	8.31728006032565	77.5723988052669	1.27945616166953e-18	1.96989387200306e-16
RPL8	-0.600097436140858	11.0531579331247	77.5559906602417	1.29012922963163e-18	1.96989387200306e-16
CMTM3	0.790889974816371	6.11729890925762	77.220398662883	1.52906113067489e-18	2.31212994907123e-16
LIPG	0.642374092551802	7.3915136983167	77.2058378389304	1.54037564357726e-18	2.31212994907123e-16
TXNDC12	-0.571067755798718	6.38686201917088	76.9613373611191	1.74337656412625e-18	2.59174970847087e-16
TMEM230	-0.367888469063248	7.68147608174291	76.9471695717939	1.75592798676888e-18	2.59174970847087e-16
SAP18	-0.354551487324801	8.18137853204033	76.7205389810545	1.96944442354008e-18	2.882876002458e-16
COX16	-0.426548633397161	7.54991307583288	76.4069726062364	2.30834801195286e-18	3.3512672121073e-16
IFI27	1.18380160520783	5.79702047615163	75.8837099707886	3.00871947597622e-18	4.3032758104227e-16
LCMT2	0.308856859337878	8.38770945670169	75.881111208276	3.01268180043143e-18	4.3032758104227e-16
S100A10	-0.717564047875289	9.16116197048687	75.7388134291551	3.23780225476908e-18	4.57669015063317e-16
NDUFC2-KCTD14	-0.548410610866024	6.70654075923492	75.709986519799	3.28541788767528e-18	4.57669015063317e-16
TMED4	0.303203714781772	8.6102522684757	75.7005871716	3.30109445406263e-18	4.57669015063317e-16
NAA15	0.357294757387206	7.52345552727523	75.6967865501957	3.30745449006914e-18	4.57669015063317e-16
KXD1	0.311564435595195	8.70746734239714	75.6108409156358	3.45459622506373e-18	4.74324095645959e-16
SNRPD2	-0.482331658012484	9.48975803453029	75.5301842066573	3.59863396678345e-18	4.90300037074373e-16
VCAN	0.340902191661709	8.02745413348052	75.4755708299042	3.69955917740978e-18	5.00202993513603e-16
NSA2	-0.486276025406817	7.18372669473905	74.7599317108861	5.31576848282776e-18	7.13279480059435e-16
GHITM	-0.458718372947845	7.3560959998298	74.4470214376793	6.22875889596717e-18	8.29502086957673e-16
CLNS1A	-0.485177329641282	8.10835566465859	74.4042426788964	6.36520615869832e-18	8.41347249872124e-16
KTN1	-0.400958002035006	8.32068674022409	74.3453384090309	6.55799395065915e-18	8.58435333036819e-16
HNF4A	0.884712159631957	5.97648469265744	74.3353023477483	6.59141854635317e-18	8.58435333036819e-16
NHP2	-0.566004344320473	8.05067718786304	74.2382677472427	6.92350736927428e-18	8.95103376091869e-16
RNF7	-0.480378022997674	7.28554426028491	74.2159241225309	7.00231634694783e-18	8.98732080703914e-16
COX7B	-0.405445185534659	8.81222474686201	73.6634810184011	9.26369978566522e-18	1.17796757567315e-15
SUPT16H	-0.455563213214227	7.51627478107072	73.6534396829762	9.31094515550143e-18	1.17796757567315e-15
C1orf194	-0.663823977414481	6.81391519034512	73.6376570987799	9.3856912399328e-18	1.1790025761822e-15
DDB1	0.310983428042812	8.57819753881138	73.4730144662031	1.02021477931449e-17	1.26450614214249e-15
DPCD	-0.421300058511748	7.59927866433417	73.4716611498792	1.02091451177945e-17	1.26450614214249e-15
PIP4K2A	0.394339596210323	7.74407187121535	73.3849787795378	1.06674842061772e-17	1.31210055735979e-15
ALG14	0.362000403893472	7.67993264894065	73.2511828346623	1.14156739465003e-17	1.39444425476147e-15
DYNLT1	-0.456163429763707	9.17203484653633	73.0159740396009	1.28604737146254e-17	1.56016924954415e-15
ATRAID	-0.365374330123454	8.14183707312601	72.9177252131014	1.35168750433194e-17	1.62864551542362e-15
FGF12	0.422968467172316	7.5014350934112	72.9001991435203	1.36374412480369e-17	1.63206999584615e-15
MRPS21	-0.363534064089301	8.81809653408374	72.3978202755515	1.7590814090577e-17	2.09106375283422e-15
HIST1H1C	-0.847713015023301	6.78182465446479	72.3555150481401	1.79719847301164e-17	2.12213195693214e-15
CHMP2A	-0.343012929446177	8.03977949786631	72.31031742136	1.83883495448961e-17	2.15691686847153e-15
TOMM7	-0.325675684436149	9.26324347827904	72.211078581199	1.93367140258962e-17	2.23894878197209e-15
EMC7	-0.502457799676323	6.5924194164671	72.2106909353677	1.93405128524012e-17	2.23894878197209e-15
NOP10	-0.415640540034037	8.56281918290956	71.7228452657642	2.47648668916394e-17	2.84828131418647e-15
NEDD8	-0.357969794929128	9.12950878621712	71.6251687614938	2.6021622553914e-17	2.97351599145113e-15
TRIB2	0.805483647945163	6.28562229494604	71.5632834487847	2.68506860795385e-17	3.04858558872298e-15
MPC1	-0.567475300155672	7.61430702270864	71.4013249049686	2.91476362621776e-17	3.28829893933561e-15
RMND5B	-0.503908370760304	8.15611415289821	71.1086213732176	3.38089489667047e-17	3.77518154002814e-15
CCNI	0.41474783639244	7.76879699388151	71.1039162647828	3.38896716838569e-17	3.77518154002814e-15
HNRNPF	-0.352510012971037	7.95097174003128	70.8008095054892	3.95174881131142e-17	4.37458593412174e-15
SOX11	0.495139487574788	7.69139309078411	70.7394262434937	4.07663567788233e-17	4.48480566004048e-15
KIF1A	-0.688838169615526	6.83933817780325	70.3504951137327	4.96503885572267e-17	5.42844248225678e-15
FAM171B	0.408595411082059	7.04267890556692	70.2569311308719	5.20620317579632e-17	5.65719451838678e-15
COX20	-0.430239916445156	7.02169843311241	70.2302195350141	5.27717914641763e-17	5.69935347813104e-15
DNAJC8	-0.34577567328173	8.46392734573091	70.2064957684598	5.34102730344611e-17	5.73335003628106e-15
PHPT1	-0.45488778912241	9.24438798353889	70.0029506454978	5.92158151191499e-17	6.31825612885773e-15
TOMM5	-0.587138792233586	7.48532038040574	69.9037498307727	6.22699616090894e-17	6.60434467077959e-15
SBDS	-0.518997601866397	7.00502050707522	69.8120351590492	6.52336442290908e-17	6.87748992015272e-15
PET100	-0.41912299664058	7.6747626361187	69.6403699318755	7.11653431508947e-17	7.45846483957779e-15
MCMDC2	-0.545243051545108	7.19734696341495	69.4260789262646	7.93327428253455e-17	8.26553847601482e-15
FAM107A	0.593301471189583	6.55516795694841	69.4027313809081	8.02774179239651e-17	8.31505044601912e-15
SLC17A8	0.403972402146336	7.55375600236212	69.3509504299743	8.24128989935957e-17	8.486612017294e-15
PIPOX	0.686091655745281	7.19337413169156	69.3317116826591	8.32207174481591e-17	8.52026212394101e-15
AC024592.3	-0.716709761935929	6.4224473944532	69.1750014102939	9.01028999838662e-17	9.17185381904735e-15
KRTCAP2	-0.351638183066847	8.20875304431947	69.1219637239661	9.2558819925396e-17	9.36801039153494e-15
MRPS25	-0.647178463261126	6.32693990139304	69.0101960190581	9.79557089924622e-17	9.85790635042324e-15
TKT	-0.583801431985237	8.6340893429665	68.1591070747693	1.50821291591783e-16	1.50923543314896e-14
HES5	1.28026244743693	5.21262963181474	67.9628101717778	1.66608474426854e-16	1.65784792081373e-14
CHP1	0.42675151654505	7.42943255854404	67.828502819641	1.78352539100287e-16	1.76479339248284e-14
ATAD3C	0.329480846364415	8.20656940905689	67.654115565496	1.94845602988156e-16	1.91728073340346e-14
NDUFB2	-0.383851113532507	8.85587347725539	67.6256144900227	1.97682631266044e-16	1.93445014640009e-14
MESD	-0.452067233365571	7.02679373096729	67.4867650645274	2.12106149663182e-16	2.06418907848037e-14
PRDX3	-0.368923438370235	8.14449783138154	67.4487165448326	2.16239219327073e-16	2.09291205066727e-14
CAMK2B	0.491420023498918	6.97028101008485	67.2393474863626	2.40466605960753e-16	2.31475245911786e-14
SCAMP2	-0.600341373343418	6.05705016438638	67.2242697413686	2.42312719373252e-16	2.31991507326435e-14
ALDOA	-0.507737297197776	8.19165112649605	67.119804121224	2.55498856141553e-16	2.4330084623544e-14
RBX1	-0.383144591683031	8.70896002219362	66.6157037021275	3.29947124194131e-16	3.12514623728687e-14
RNF122	0.31965214642443	8.78448793576937	66.5743641403908	3.36939666509331e-16	3.17440179426238e-14
DCTN6	-0.404964924057069	7.17766479045082	66.5303539016588	3.44546956194381e-16	3.22429989384943e-14
HLA-DRB1	2.01607136489364	4.58692898930636	66.5227603558167	3.45876795297759e-16	3.22429989384943e-14
COA5	-0.503237855953671	6.61906265689806	66.3754101431173	3.72722947345268e-16	3.45637112218816e-14
GANC	0.282509183091222	9.30661033182443	66.3461234726287	3.78302134740506e-16	3.48983719298116e-14
TRAK1	0.608910719809518	5.88522519983561	66.3157498408399	3.84176664958626e-16	3.52566688587937e-14
TMEM179B	-0.534700257664566	6.57108662464225	66.2605108438459	3.95095280727532e-16	3.60717918157012e-14
COMMD6	-0.315644655657156	9.51878044040049	66.2390515266275	3.99420206826497e-16	3.62235506600311e-14
NUPR1	-0.891003661868695	7.33413800105321	66.232019213105	4.00847782823289e-16	3.62235506600311e-14
SNRPD1	-0.332888379324735	8.10548021981782	66.1230934498794	4.23623228114114e-16	3.80873838393766e-14
COX5B	-0.463400508502916	8.39033716004035	66.0852984467355	4.31824719530992e-16	3.86286840016815e-14
GCNT4	0.563251107856999	6.5815021636452	65.9388278528448	4.6513754959655e-16	4.13995792887141e-14
GDAP2	0.391902811942331	7.2926937756034	65.6204916417069	5.46673900194121e-16	4.84134406011913e-14
ARPP19	-0.387869130590194	7.33485778066162	65.5767287352134	5.58948875470525e-16	4.92542412056415e-14
SDC3	0.493381372635342	9.45552679917009	65.3691136971944	6.21046485760258e-16	5.44553235434935e-14
UBL5	-0.364772113897148	9.01952435497131	65.3473140365534	6.27954545961445e-16	5.4789807478173e-14
TSPAN11	0.745270913173784	6.4477422521851	65.2061630861853	6.74582238610925e-16	5.85696108346897e-14
HIST1H1D	-1.35707799852344	5.22981123547378	65.1033078297291	7.10726710677824e-16	6.1406787802564e-14
CTNNB1	0.348956416072308	9.35144332568983	65.0181262958683	7.42122741835482e-16	6.38081456475246e-14
DPY30	-0.411684754646174	7.26818774281079	64.8912513953561	7.91476948037897e-16	6.77228971190687e-14
MAGEH1	-0.721510858979612	5.81768730598703	64.7553940414925	8.47971689627889e-16	7.22080508013902e-14
AK2	-0.55761529270659	6.44516882966611	64.733826245715	8.57304291302535e-16	7.26534622370837e-14
NDUFB3	-0.472389629212316	7.41502914860249	64.6163804694841	9.09957279469434e-16	7.67483968283934e-14
ATP5PB	-0.330068487325362	8.75229679311932	64.5356257882419	9.48026301270801e-16	7.95802931189972e-14
ATP6AP2	-0.412502891991019	7.57672274203049	64.4699628076323	9.80152378755991e-16	8.18889572288967e-14
SNRPD3	-0.390830917596207	7.8089755415577	64.1840861552082	1.13320386508395e-15	9.42314875979664e-14
TMEM258	-0.399251684690316	8.82405471893964	64.1343150198832	1.16219574091308e-15	9.61907054348246e-14
PSENEN	-0.377796592588958	8.29796919110294	64.1213220979804	1.16988555039711e-15	9.63768040401563e-14
CAPZA2	-0.334259362052426	7.43227735338398	63.8214718661539	1.36220750374319e-15	1.11701015306942e-13
TCTEX1D2	-0.514827718906021	6.84216794016897	63.7872528331434	1.38607554799858e-15	1.13134424452308e-13
SCYL3	0.275206134778597	9.88729597527264	63.5222154692074	1.58568443422118e-15	1.28833223389567e-13
TENM2	1.01267541413868	5.83095441467225	63.4496644377474	1.64517426858624e-15	1.33056286051139e-13
TMEM14A	-0.47744319538723	6.81575056596161	63.4247484782166	1.66611559569798e-15	1.34137451959103e-13
TMOD3	-0.576476832475686	7.5263052754133	63.3956695469596	1.69089329213139e-15	1.35516298598331e-13
TMA7	-0.429585367115448	10.417244698698	63.1389006706554	1.9263192324497e-15	1.53689037140311e-13
INO80B-WBP1	0.762236278503415	5.88277472762795	63.0052470478237	2.06156661156986e-15	1.63742008179934e-13
HINT1	-0.382150120701254	9.52959480312282	62.7780535042452	2.31362566758072e-15	1.82941686715133e-13
RTL8C	0.414352621695454	7.3262260158075	62.6809245063577	2.43058414505624e-15	1.91335583898827e-13
CD81	0.376399653186814	8.19248826807814	62.5614055208314	2.58265287504593e-15	2.02167790022683e-13
ARID3A	0.478100131853839	6.70996698221844	62.5550378045204	2.59101673075593e-15	2.02167790022683e-13
HIGD1A	-0.336075954086748	8.34222582097257	62.4032151887073	2.79865950102564e-15	2.1741165386915e-13
EYA3	0.332594774964233	7.82768063582048	62.3906037447119	2.81663899026795e-15	2.17852881203606e-13
SEC61G	-0.424911339356847	8.61326748271411	62.2618388611489	3.00695818080647e-15	2.3156192738454e-13
USP22	0.302914890361545	8.21933040896598	62.0712693047273	3.31249192780123e-15	2.53986394048552e-13
ADAMTS4	0.346250677024647	7.35398386614623	62.0247248266716	3.39171890778189e-15	2.58940195235486e-13
RPS14	-0.664022119373688	11.9868971018007	62.0000528661531	3.43448092640065e-15	2.61079511452396e-13
SLC27A3	1.14470721322125	5.84386663764837	61.8507645661855	3.70498505897332e-15	2.80438869079212e-13
CDC42SE1	0.309551589427881	8.56533478652476	61.7409004466094	3.91757770310176e-15	2.9526866500995e-13
COA3	-0.35866251132013	8.25659826528013	61.6046362971365	4.19828922988778e-15	3.15085164575306e-13
DNAJB6	-0.463995355299695	7.32945154928063	61.5554929544672	4.30439154174185e-15	3.216851602841e-13
CANX	-0.530710426042826	8.42174760818991	61.5043354545326	4.41769348316311e-15	3.28765491486491e-13
TAX1BP1	-0.388443473013987	7.93816033169475	61.476366766554	4.4808942344972e-15	3.31247293038051e-13
HAS2	0.452525873332148	9.25522547375131	61.473051387986	4.48844570512264e-15	3.31247293038051e-13
DBN1	0.405233911512506	7.38792949999133	61.3875231793406	4.68771710420298e-15	3.44518030496445e-13
RASSF4	0.747080614634063	6.93383483887587	61.1814514065685	5.2049599357859e-15	3.80951447862148e-13
ZNF317	0.354956465916198	7.68876333940292	61.07777372587	5.48640462940945e-15	3.99897937432511e-13
ATP5PD	-0.366015969396806	8.78576009154559	60.7869406060927	6.35984274786874e-15	4.61662027664963e-13
LMAN1	-0.505980064346123	6.78369448094605	60.7335042913536	6.53484175165798e-15	4.72429049409658e-13
THYN1	-0.343579792775927	7.49943732501711	60.6125512124602	6.94895297378105e-15	5.00324614112236e-13
HEG1	0.812146770924384	5.67111038806427	60.5872589977316	7.03881200877368e-15	5.04742665179755e-13
NDUFA3	-0.514791481548146	7.24484630479837	60.5409837524992	7.20624045318162e-15	5.14665043978842e-13
BTBD9	0.653989638282216	6.0530374435216	60.4058125471786	7.71847157534062e-15	5.49034411817e-13
RREB1	0.353061111455977	9.78837673892203	60.3871272449453	7.79208876716787e-15	5.52053904976309e-13
MRPL24	-0.471512120077687	7.26900875701912	60.25300156195	8.34155334567618e-15	5.88627859994488e-13
FAM206A	-0.574461886453225	5.95243381563929	60.1800803275606	8.65638277628107e-15	6.08420046561469e-13
PAN3	0.378410587799715	7.15764227765771	59.9015132319227	9.97247484472818e-15	6.98152072924212e-13
AEBP1	0.825920943540372	5.8038229826831	59.8799671451694	1.00822469039501e-14	7.03058099066002e-13
PUF60	0.471003033124225	7.09474846883351	59.8299018283604	1.0342008474318e-14	7.18343741557336e-13
ST13	-0.338785553781175	7.95501480362991	59.8199812236418	1.03942705360017e-14	7.19153592709615e-13
NDUFAF3	-0.540180174056711	6.67923928203434	59.7850393922263	1.05804585073136e-14	7.29187085920386e-13
LRRC69	0.604492520219308	6.08860218144831	59.7531970773614	1.07530351036604e-14	7.38208363395479e-13
RYR2	-1.09544244231514	4.74952802633377	59.7421075959485	1.08137959196667e-14	7.39513333317129e-13
WIPF2	0.251577171728824	9.67200962658575	59.646114519049	1.13543209796699e-14	7.73491281507357e-13
HDDC2	-0.491054608670753	7.04456254837059	59.5480948155499	1.19341620612968e-14	8.0855204155837e-13
SLC25A37	0.367405260229129	7.29761265798442	59.5437911545902	1.1960288780956e-14	8.0855204155837e-13
RNASEK	-0.423015670138639	8.23724445753575	59.5071244138143	1.21852192917196e-14	8.20625871083411e-13
MAGED1	0.46480358508514	7.58987455434957	59.4801329581461	1.23534972482588e-14	8.28807360837724e-13
ELAVL3	1.18050213193993	4.85797201060414	59.3123974344661	1.34526349442896e-14	8.96369757344054e-13
HLA-DPA1	1.74360577863178	4.57885245913343	59.3110658572729	1.34617409357226e-14	8.96369757344054e-13
